urbanization_rate_country,urbanization_rate,suicide_rate,meat_consumption,gdp_per_capita,fertility,ladder_score,logged_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
Ukraine,69.6,18.5,32.3,10130,1.3,4.56069994,9.010690689,0.878879368,64.60678101,0.663081884,-0.030933706,0.920636714
Tunisia,69.6,3.2,25.5,13093,2.2,4.392199993,9.314972878,0.688718557,66.89785767,0.593361557,-0.216413811,0.867590249
Estonia,69.2,14.4,67.4,37606,1.7,6.021800041,10.34001732,0.934729993,68.60495758,0.87770915,-0.111697771,0.623073816
Mongolia,68.7,13.3,108.8,15089,2.9,5.456200123,9.412186623,0.937142491,62.30448532,0.693351328,0.098093867,0.863511205
Panama,68.4,4.4,54.5,28456,2.5,6.304800034,10.03423405,0.902094483,69.60301208,0.880366504,-0.153927714,0.851588905
Latvia,68.3,17.2,45.7,32987,1.6,5.949999809,10.17531967,0.918288589,66.8074646,0.671237648,-0.186888844,0.795580089
Lithuania,68,25.7,49.5,38751,1.6,6.215499878,10.34362602,0.926107109,67.29407501,0.747381449,-0.219725296,0.809583843
Republic of the Congo,67.8,9.3,13.3,7336,4.4,,,,,,,
Montenegro,67.5,7.9,,21977,1.7,5.54610014,9.751860619,0.855314612,68.50534821,0.649565637,-0.075600356,0.783121586
South Africa,67.4,12.8,39,13965,2.4,4.814099789,9.403370857,0.852532268,56.50601196,0.759330094,-0.109777324,0.843423843
Cyprus,66.8,4.5,131.3,42956,1.3,6.15899992,10.40570259,0.805996239,73.70222473,0.779858291,0.043731496,0.856271744
Angola,66.8,8.9,19,6763,5.5,,,,,,,
Cape Verde,66.7,15.1,26.3,8716,2.3,,,,,,,
Portugal,66.3,8.6,91.1,34936,1.4,5.910900116,10.26374245,0.886590719,72.40202332,0.888747811,-0.220714301,0.892629504
Suriname,66.1,23.2,40.3,16044,2.4,,,,,,,
Ecuador,64.2,7.2,45,11866,2.4,5.925199986,9.246058464,0.836418986,68.50003815,0.859828949,-0.127014965,0.801215112
Tuvalu,64,,,4535,,,,,,,,
Ireland,63.7,10.9,106.3,86988,1.8,7.093699932,11.16097832,0.942081571,72.30078888,0.886982977,0.145784974,0.357184172
Morocco,63.5,3.1,20.6,9667,3.1,5.094799995,8.940313339,0.592628479,65.89624023,0.772072434,-0.240377247,0.815724611
Armenia,63.3,5.7,27.7,11845,1.8,4.676799774,9.100476265,0.757479429,66.75065613,0.712017834,-0.13877961,0.773544788
The Gambia,62.6,10,5.2,2892,5.2,,,,,,,
North Korea,62.4,10.6,10.8,,1.9,,,,,,,
French Polynesia,62,,112.2,,1.9,,,,,,,
Paraguay,62.2,9.3,70.3,13213,2.4,5.692100048,9.389982224,0.898727894,65.63993835,0.885923445,0.007997713,0.834788501
Albania,62.1,5.6,,14866,1.6,4.882699966,9.417930603,0.671070457,68.70813751,0.781994224,-0.042309489,0.896303713
China,61.4,8,52.4,20984,1.7,5.123899937,9.688568115,0.798760593,69.2891922,0.898517907,-0.18142575,0.7539711
Poland,60,13.4,78.1,35651,1.5,6.186299801,10.26512432,0.874257445,69.31113434,0.862055779,-0.205084071,0.686927021
Georgia,59.5,6.7,26,13200,2.1,4.672599792,9.226100922,0.629033029,64.49520874,0.801641524,-0.22892037,0.665944695
Nicaragua,59,11.9,14.9,5297,2.4,6.13710022,8.493160248,0.857497036,67.50717926,0.863902867,0.020959141,0.665950119
Austria,58.7,11.4,94.1,55171,1.5,7.294199944,10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879
North Macedonia,58.5,6.2,35.4,17378,1.5,,,,,,,
Honduras,58.4,3.4,24.7,5600,2.5,5.953199863,8.424534798,0.821870148,67.19876862,0.870603263,0.086969115,0.801131904
Kazakhstan,57.7,22.8,44.8,30178,2.8,6.057899952,10.11465836,0.934744895,64.60996246,0.811601937,-0.068488635,0.764490843
Croatia,57.6,11.5,49.9,29207,1.5,5.504700184,10.07087517,0.874623716,70.21490479,0.714838803,-0.128538325,0.916495264
Cameroon,57.6,19.5,14.4,4099,4.6,5.084899902,8.118647575,0.700386405,52.7049408,0.763051808,-0.00149645,0.851336598
Seychelles,57.5,8.3,51.1,33118,2.4,,,,,,,
Ghana,57.3,8.7,9.9,7343,3.9,5.147999763,8.350645065,0.728601098,57.20398712,0.794796526,0.094170853,0.847964764
Fiji,57.2,5.5,39.1,12689,2.8,,,,,,,
Haiti,57.1,12.2,15.3,1916,2.9,3.720799923,7.411329269,0.593247831,55.59862518,0.537825167,0.40053457,0.684767246
Indonesia,56.6,3.7,8.3,14841,2.3,5.285600185,9.36975193,0.808379889,62.15584946,0.870614409,0.519586504,0.876296401
Romania,56.4,8,54.5,29555,1.8,6.123700142,10.107584,0.825161517,67.20723724,0.842823207,-0.19781521,0.934300244
Serbia,56.4,10.9,,19767,1.5,5.77820015,9.680980682,0.881475747,68.21020508,0.726495862,-0.073676221,0.843509018
Azerbaijan,56.4,2.6,15.9,19156,1.7,5.164800167,9.687726974,0.819308281,65.50839996,0.786824107,-0.240255281,0.55253756
Jamaica,56.3,2,56.8,9932,2,5.889800072,9.006250381,0.915701866,67.09999847,0.858068526,-0.125106767,0.888890028
Kiribati,55.6,15.2,32.1,2193,3.6,,,,,,,
Syria,55.5,2.4,21.2,,2.8,,,,,,,
Mauritania,55.3,7.5,29.9,5158,4.6,4.374599934,8.233919144,0.790819228,57.01017761,0.551522553,-0.106008142,0.746223509
Slovenia,55.1,13.3,88,40344,1.6,6.363399982,10.39232254,0.939575672,71.1029892,0.936142623,-0.080603383,0.817071021
Slovakia,53.8,10.1,67.4,38321,,6.280600071,10.34774971,0.922493756,68.90634155,0.749952674,-0.124409303,0.918096125
Trinidad and Tobago,53.2,12.9,57.8,33713,1.7,6.191899776,10.26000214,0.91529417,63.5,0.857907116,0.000526841,0.912230611
Isle of Man,52.9,,,,1.6,,,,,,,
Saint Vincent and the Grenadines,53,2.4,79.1,12983,,,,,,,,
Turkmenistan,52.5,7.2,41.7,21855,2.8,5.119100094,9.74803257,0.958966196,62.21170807,0.826457024,0.187671542,0.883691847
Liberia,52.1,13.4,7.9,1428,4.3,4.557899952,7.054380417,0.70928055,56.09631348,0.735268712,0.04227322,0.856375933
Nigeria,52,17.3,8.6,6172,5.4,4.724100113,8.57662487,0.73721689,49.86190796,0.759578407,0.033745807,0.861874342
Namibia,52,11.5,34,11451,3.4,4.571100235,9.203141212,0.846880972,56.50148773,0.767520964,-0.18530646,0.851449788
Guatemala,51.8,2.9,23.8,9009,2.9,6.398900032,8.924805641,0.816621482,64.8089447,0.908147573,-0.042938665,0.783237457
Ivory Coast,51.7,23,11.3,4754,4.6,5.233300209,8.225561142,0.658048689,49.50377274,0.727909327,-0.043991156,0.790771961
Thailand,51.4,12.9,27.9,21361,1.5,5.998799801,9.741791725,0.889973223,67.25059509,0.905063033,0.268685192,0.886272311
Uzbekistan,50.4,7.4,20.7,9595,2.4,6.257599831,8.740371704,0.926595807,65.10757446,0.974998116,0.248427153,0.501497388
Bosnia and Herzegovina,49,6.4,21.4,14894,1.3,5.674099922,9.455817223,0.829204142,67.80813599,0.651352704,0.098274559,0.933769107
Benin,48.4,15.7,16.2,3648,4.8,5.21600008,7.674319744,0.468671143,54.31246567,0.735182583,-0.003537213,0.740532577
Senegal,48.1,11.8,17.7,4079,4.6,4.980800152,8.118982315,0.723616004,59.59915161,0.690596163,-0.052335154,0.808785141
Philippines,47.4,3.7,31.1,10094,2.6,6.006000042,8.993545532,0.846730053,61.92676163,0.915463448,-0.105463006,0.733634114
Somalia,46.1,8.3,9.5,314.5,6.1,,,,,,,
Belize,46,5.9,74.7,8791,2.3,,,,,,,
Niue,46.2,,,,,,,,,,,
Democratic Republic of the Congo,45.6,9.7,4.8,873,5.9,,,,,,,
Zambia,44.6,11.3,11.9,4174,4.6,3.759399891,8.224720001,0.698824465,55.29937744,0.806500256,0.078037128,0.801289678
Guinea,44.2,10.5,13,2574,4.7,4.949299812,7.750990391,0.637573481,54.46780014,0.706846774,0.076328471,0.761794448
Mali,43.9,8.9,19,2569,5.9,4.729300022,7.629852295,0.731468976,51.72698212,0.71156615,-0.044366926,0.839328408
Aruba,43.7,,,,1.9,,,,,,,
Sierra Leone,42.9,16.1,6.1,1765,4.3,3.926399946,7.26880312,0.636142015,50.86514282,0.715315044,0.088660747,0.861330688
Egypt,42.8,4.4,22.5,14800,3.3,4.151400089,9.316541672,0.735447824,61.78015137,0.708354175,-0.196878314,0.787726879
Moldova,42.8,13.4,22.7,8161,1.3,5.607500076,8.776714325,0.843313575,65.01301575,0.721609175,-0.037741039,0.913314283
Faroe Islands,42.4,,,,2.5,,,,,,,
Togo,42.8,16.6,8.5,1913,4.3,4.187200069,7.357711315,0.551312625,54.71989822,0.649828613,0.002667875,0.757733464
Bhutan,42.3,11.6,3,10627,2,,,,,,,
Central African Republic,42.2,11.6,28,864,4.7,3.475899935,6.625160217,0.319459856,45.20000076,0.640880644,0.082410358,0.891806662
Eritrea,41.3,13.8,7.7,1103,4.1,,,,,,,
Mauritius,40.8,7.3,39.6,26461,1.4,6.101299763,9.956786156,0.910357833,66.40434265,0.889534533,-0.018318573,0.805343091
Maldives,40.7,2.7,16.6,24796,1.9,5.197599888,9.518632889,0.91316092,70.59999847,0.853962779,0.038085498,0.824211061
"Saint Helena, Ascension and Tristan da Cunha",40.1,,,,,,,,,,,
Madagascar,38.5,6.9,17.6,1776,4.1,4.165599823,7.281685829,0.668195903,59.10542679,0.557574093,-0.011823639,0.817485631
Bangladesh,38.2,6.1,3.1,5453,2,4.832799911,8.287063599,0.687292993,64.50306702,0.90062499,-0.033664726,0.661843538
Vietnam,37.3,7,28.6,8677,2,5.353499889,8.809545517,0.849987149,67.9527359,0.939592957,-0.094533332,0.79642123
Pakistan,37.2,3.1,12.3,6016,3.5,5.69329977,8.482727051,0.689062297,58.25313568,0.734833717,0.04489987,0.745705426
Mozambique,37.1,8.4,5.6,1372,4.9,4.623600006,7.069345951,0.723874032,54.20582199,0.864451885,0.032375868,0.683019102
Kyrgyzstan,36.9,9.1,39,4193,3.3,5.541500092,8.148405075,0.887228489,64.10601044,0.909374893,0.154772058,0.888396084
Yemen,36.6,9.8,14.7,2312,3.8,3.527400017,7.759682655,0.817980587,56.72728348,0.599920273,-0.157735437,0.800287724
Grenada,36.5,1.7,97,17434,2.1,,,,,,,
Laos,36.3,9.3,15,8684,2.7,4.888599873,8.79858017,0.737502217,58.70992279,0.907213569,0.11137148,0.634679317
Sudan,35.3,9.5,21,3986,4.4,,,,,,,
Tanzania,35.2,9.6,10,3652,4.9,3.476200104,7.967665195,0.688933194,57.49607468,0.82153976,0.109668687,0.619799435
India,34.9,16.5,5.2,9027,2.2,3.573299885,8.849823952,0.592200935,60.21518707,0.881444871,0.057551607,0.772042692
Zimbabwe,32.2,19.1,15.2,2778,3.6,3.299200058,7.865711689,0.763092756,55.61725998,0.711457908,-0.072063953,0.81023699
East Timor,31.3,6.4,41.3,5321,4,,,,,,,
Barbados,31.2,0.4,88.7,19364,1.6,,,,,,,
Myanmar,31.1,8.1,10.7,7220,2.2,4.308000088,8.680481911,0.78440702,58.96171188,0.895075202,0.560663998,0.645124316
Guernsey,31,,,,,,,,,,,
Jersey,31,,,,,,,,,,,
Saint Kitts and Nevis,30.8,,99.3,31950,,,,,,,,
Burkina Faso,30.6,14.8,11.2,2181,5.2,4.768700123,7.46854496,0.712943614,53.88945389,0.665563583,-0.019080516,0.739795029
Comoros,29.4,11.1,7.6,2898,4.2,4.288599968,7.833630085,0.625662446,57.34901047,0.547612607,0.090008408,0.780622602
Lesotho,29,28.9,15.4,3655,3.1,3.652800083,7.960488319,0.780495703,48.00362396,0.738125861,-0.145732045,0.857392073
Kenya,28,5.6,14.3,4078,3.5,4.583000183,8.02977562,0.702652037,60.09693146,0.829747558,0.294681519,0.831499159
Tajikistan,27.5,3.3,8.7,3751,3.6,5.555699825,8.024810791,0.835297108,64.10459137,0.831383407,-0.025088511,0.592076063
Guyana,26.8,30.2,31.8,17163,2.5,,,,,,,
Afghanistan,26,6.4,17.3,2182,4.5,2.566900015,7.462860584,0.470366955,52.59000015,0.396573007,-0.0964294,0.933686554
Vanuatu,25.5,5.4,32.6,3039,3.8,,,,,,,
Uganda,25,20,11.7,2753,5,4.43200016,7.500389576,0.764994621,55.70820236,0.731713951,0.099487431,0.836737812
Solomon Islands,24.7,5.9,9.7,2363,4.4,,,,,,,
Antigua and Barbuda,24.4,0.5,56,30593,2,,,,,,,
Eswatini,24.2,16.7,,11139,3,,,,,,,
Cambodia,24.2,5.9,13.9,5004,2.5,4.848400116,8.249890327,0.773080647,61.52996826,0.959704638,0.051911179,0.822769046
Chad,23.5,15.5,14.3,2603,5.7,4.422699928,7.467963696,0.632388055,48.22053909,0.587305248,0.017834719,0.802760839
Tonga,23.1,4,,6867,3.6,,,,,,,
Ethiopia,21.7,11.4,7.9,2702,4.2,4.186200142,7.509385586,0.743307352,58.63959122,0.740795195,0.043377332,0.753690004
Nepal,20.6,9.6,10,3550,1.9,5.137199879,7.925357342,0.785512447,63.77917862,0.797565043,0.154168829,0.738099158
South Sudan,20.2,6.1,13.1,1715,4.7,2.816600084,7.425359726,0.553707123,51,0.451313615,0.016518548,0.763417304
Saint Lucia,18.8,7.3,124.1,15159,,,,,,,,
Sri Lanka,18.7,14.2,6.6,14509,2.2,4.327000141,9.389969826,0.825374067,67.20006561,0.837633669,0.081129618,0.859001756
Rwanda,17.4,11,4.4,2642,4,3.312299967,7.600104332,0.54083544,61.09884644,0.900589406,0.055483952,0.183541179
Malawi,17.4,7.8,5.1,1292,4.2,3.538000107,7.062226295,0.544007301,57.59288788,0.803223193,0.021433279,0.731700778
Niger,16.6,9,11.2,1152,5.3,4.909599781,6.842166901,0.617435038,53.50009537,0.759772122,0.013860817,0.722530186
Liechtenstein,14.4,,,,1.6,,,,,,,
Burundi,13.7,15,3.5,724,5.4,3.775300026,6.492642403,0.490325719,53.40000153,0.626350224,-0.017551597,0.606934547
Papua New Guinea,13.3,7,73,4081,3.6,,,,,,,
Montserrat,9.1,,,,,,,,,,,
,,5.4,,,,,,,,,,
,,2.2,,,,,,,,,,
,,,82.6,,,,,,,,,
,,,12.7,,,,,,,,,
,,,77.6,,,,,,,,,
,,,9.6,,,,,,,,,
,,,13.9,,,,,,,,,
,,,60.2,,,,,,,,,
,,,6.6,,,,,,,,,
,,,13.2,,,,,,,,,
,,,,6493,,,,,,,,
,,,,3657,,,,,,,,
,,,,67891,,,,,,,,
,,,,,3.9,,,,,,,
,,,,,4.3,,,,,,,
,,,,,1.8,,,,,,,
,,,,,3.1,,,,,,,
,,,,,2.1,,,,,,,
,,,,,2.1,,,,,,,
,,,,,,5.159800053,9.510591507,0.820392311,67.50442505,0.738840938,-0.019877451,0.897490501
,,,,,,5.53550005,10.40570259,0.820356607,73.70222473,0.79529351,0.000227159,0.62611568
,,,,,,5.510399818,10.9346714,0.845969081,76.77170563,0.779833794,0.134979904,0.420607209
,,,,,,5.194399834,8.536987305,0.640228093,57.92448044,0.719058514,-0.123674095,0.751779079
,,,,,,4.552800179,8.389223099,0.825295925,62.25,0.645791829,-0.162079096,0.824199975
,,,,,,6.102099895,11.08982468,0.846475244,66.76764679,0.872366488,-0.100184701,0.760849059
,,,,,,4.750599861,7.321814537,0.6931687,55.0120163,0.733163178,0.343198717,0.690717816
,,,,,,6.325200081,9.204429626,0.820726514,63.88555527,0.861535907,0.190933764,0.922328293
,,,,,,4.31099987,6.694256306,0.672159016,52.90000153,0.700793564,0.083637655,0.809403598
,,,,,,4.308100224,9.16267395,0.770290196,51.18823624,0.646822274,-0.19920142,0.708263338
,,,,,,6.45539999,10.77568531,0.894309103,69.59999847,0.77153033,-0.073198698,0.73188293
